date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:48:07	219/219	---MCZ	200	added ('OK')	text/plain	etag:W/%2263f04504-154%22	https://www.classcentral.com/robots.txt		(from )
03:48:10	665040/665040	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Feb%202023%2003:48:08%20GMT	https://www.classcentral.com/	C:/My%20Web%20Sites/httrack%202/www.classcentral.com/index.html	(from )
03:48:11	9463/9463	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Feb%202023%2011:15:26%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fmeta%2Fmeta-default.png?auto=format&ixlib=php-3.3.1&s=abde49e12c23a50309f7d91754b25193	C:/My%20Web%20Sites/httrack%202/ccweb.imgix.net/https_/www.classcentral.com/images/meta/meta-default6dba.png	(from https://www.classcentral.com/)
03:48:11	2206/2206	---M--	200	added ('OK')	image/png	date:Sat,%2018%20Feb%202023%2003:21:24%20GMT	https://www.classcentral.com/apple-touch-icon.png	C:/My%20Web%20Sites/httrack%202/www.classcentral.com/apple-touch-icon.png	(from https://www.classcentral.com/)
03:48:12	975/975	---M--	200	added ('OK')	image/png	date:Sat,%2018%20Feb%202023%2003:24:52%20GMT	https://www.classcentral.com/favicon-32x32.png	C:/My%20Web%20Sites/httrack%202/www.classcentral.com/favicon-32x32.png	(from https://www.classcentral.com/)
03:48:12	731/731	---M--	200	added ('OK')	image/png	date:Sat,%2018%20Feb%202023%2003:21:25%20GMT	https://www.classcentral.com/favicon-16x16.png	C:/My%20Web%20Sites/httrack%202/www.classcentral.com/favicon-16x16.png	(from https://www.classcentral.com/)
03:48:13	673/673	---M--	200	added ('OK')	application/octet-stream	etag:%2263f04435-2a1%22	https://www.classcentral.com/site.webmanifest	C:/My%20Web%20Sites/httrack%202/www.classcentral.com/site.webmanifest	(from https://www.classcentral.com/)
03:48:13	1960/1960	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263f04435-7a8%22	https://www.classcentral.com/safari-pinned-tab.svg	C:/My%20Web%20Sites/httrack%202/www.classcentral.com/safari-pinned-tab.svg	(from https://www.classcentral.com/)
03:48:13	913/913	---MCZ	200	added ('OK')	text/xml	etag:W/%2263f04435-391%22	https://www.classcentral.com/opensearch.xml	C:/My%20Web%20Sites/httrack%202/www.classcentral.com/opensearch.xml	(from https://www.classcentral.com/)
03:48:14	1328/1328	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2018%20Feb%202023%2003:24:52%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	C:/My%20Web%20Sites/httrack%202/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	(from https://www.classcentral.com/)
